UserId,VoteTypeId,n
"201635","2","2"
"201639","2","1"
"201644","2","103"
"201644","3","3"
"201647","2","1"
"201647","3","1"
"201648","2","78"
"201648","3","4"
"201649","2","2"
"201650","2","50"
"201650","3","2"
"201651","2","13"
"201652","2","7"
"201653","2","1"
"201654","2","216"
"201654","3","11"
"201657","2","41"
"201657","3","2"
"201659","2","3"
"201660","2","10"
"201663","2","12"
"201663","3","1"
"201664","2","31"
"201665","2","278"
"201665","3","3"
"201666","2","28"
"201669","2","5"
"201672","2","493"
"201672","3","12"
"201679","2","15"
"201681","2","182"
"201681","3","6"
"201682","2","11"
"201682","3","1"
"201684","2","21"
"201684","3","1"
"201685","2","1"
"201686","2","3"
"201687","2","3"
"201688","2","14"
"201690","2","13"
"201693","2","1"
"201695","2","1"
"201696","2","9"
"201696","3","1"
"201698","2","33"
"201698","3","1"
"201701","2","1"
"201703","2","21"
"201704","2","2"
"201706","2","8"
"201706","3","4"
"201707","2","1"
"201709","2","1"
"201710","2","11"
"201718","2","111"
"201718","3","7"
"201719","2","26"
"201720","2","138"
"201720","3","9"
"201722","2","400"
"201722","3","15"
"201724","2","186"
"201724","3","33"
"201725","2","2345"
"201725","3","29"
"201727","2","65"
"201730","2","10"
"201730","3","1"
"201734","2","2"
"201735","2","14"
"201735","3","1"
"201740","2","1"
"201742","2","1"
"201743","2","8"
"201745","2","26"
"201746","2","5"
"201747","2","71"
"201747","3","9"
"201748","2","31"
"201750","2","64"
"201750","3","3"
"201751","2","62"
"201751","3","1"
"201754","2","2"
"201755","2","1"
"201756","2","13"
"201757","2","23"
"201757","3","2"
"201760","2","5"
"201760","3","1"
"201762","2","11"
"201764","2","4"
"201765","2","2"
"201766","2","31"
"201766","3","2"
"201769","2","4"
"201769","3","1"
"201771","2","4"
"201771","3","3"
"201774","2","2"
"201775","2","12"
"201775","3","1"
"201776","2","4"
"201776","3","1"
"201778","2","7"
"201778","3","2"
"201780","2","21"
"201781","2","4"
"201781","3","1"
"201784","2","5"
"201787","2","146"
"201787","3","5"
"201788","2","123"
"201788","3","4"
"201789","2","355"
"201789","3","2"
"201790","2","6"
"201792","2","228"
"201792","3","15"
"201793","2","30"
"201794","2","117"
"201794","3","1"
"201796","2","13"
"201800","2","437"
"201800","3","7"
"201804","2","27"
"201804","3","1"
"201806","2","15"
"201807","2","50"
"201807","3","1"
"201808","2","360"
"201808","3","3"
"201809","2","5"
"201810","2","17"
"201810","3","1"
"201815","2","3"
"201818","2","4"
"201821","2","2"
"201828","2","414"
"201828","3","5"
"422327","2","73"
"422327","3","8"
"422328","2","2"
"422330","3","1"
"422331","2","25"
"422331","3","3"
"422332","2","3"
"422333","2","38"
"422335","2","2"
"422336","2","4"
"422337","2","4"
"422338","2","42"
"422340","2","2"
"422344","2","3"
"422345","2","6"
"422347","2","1"
"422348","2","59"
"422353","2","283"
"422353","3","9"
"422356","2","83"
"422356","3","4"
"422357","2","8"
"422362","2","18"
"422363","2","1"
"422366","3","2"
"422367","2","3"
"422368","2","1"
"422369","2","2"
"422372","2","28"
"422374","2","2"
"422376","3","2"
"422382","2","39"
"422382","3","3"
"422383","3","3"
"422384","2","2"
"422384","3","1"
"422385","2","8"
"422385","3","1"
"422386","2","2"
"422386","3","8"
"422389","2","35"
"422389","3","1"
"422390","2","70"
"422390","3","9"
"422392","2","1"
"422396","2","2"
"422400","2","9"
"422405","2","126"
"422405","3","1"
"422407","2","1"
"422409","2","9"
"422410","2","103"
"422410","3","3"
"422411","2","16"
"422412","2","3"
"422413","2","2"
"422418","2","1"
"422419","2","21"
"422419","3","1"
"422420","2","10"
"422424","2","1"
"422427","2","19"
"422430","2","4"
"422430","3","2"
"422433","3","1"
"422434","2","1"
"422437","2","419"
"422437","3","22"
"422439","2","1"
"422439","3","1"
"422443","2","4"
"422443","3","4"
"422445","2","9"
"422449","2","6"
"422452","2","3"
"422453","2","8"
"422454","3","1"
"422455","2","21"
"422458","2","3"
"422460","2","2"
"422464","2","2"
"422470","2","23"
"422470","3","1"
"422471","2","14"
"422473","3","1"
"422476","2","91"
"422476","3","2"
"422477","2","21"
"422480","2","3"
"422481","2","4"
"422485","2","1"
"422489","2","180"
"422489","3","2"
"422490","2","2"
"422497","2","1"
"422506","2","6"
"422508","2","2"
"422511","2","1"
"422511","3","1"
"422515","2","16"
"422515","3","2"
"422516","2","136"
"422516","3","3"
"422517","2","4"
"422518","2","7"
"422519","2","22"
"422519","3","1"
"422524","2","11"
"422525","2","3"
"422525","3","1"
"422526","3","4"
"422527","2","4"
"422528","2","1"
"422532","2","4"
"422532","3","2"
"422533","2","5"
"422534","2","5"
"422535","2","1"
"422540","2","3"
"422542","2","1"
"422543","2","103"
"422543","3","1"
"422544","2","32"
"422544","3","2"
"422545","2","1"
"422545","3","1"
"422546","2","5"
"422547","2","1"
"422548","2","1"
"422549","2","5"
"422550","2","69"
"422550","3","9"
"422551","2","15"
"422554","2","5"
"422557","2","2"
"422560","2","7"
"422560","3","1"
"422561","2","3"
"422562","2","1"
"422562","3","2"
"422565","2","705"
"422565","3","9"
"422566","2","66"
"422566","3","1"
"422567","2","49"
"422570","2","32"
"422570","3","24"
"422572","2","11"
"422572","3","1"
"422575","2","2"
"422576","2","1"
"422577","2","8"
"422578","2","324"
"422579","2","61"
"422579","3","4"
"422586","2","2"
"422587","2","2"
"422589","2","47"
"422591","2","1"
"422592","2","16"
"422596","2","2"
"422597","2","3943"
"422597","3","58"
"422601","2","23"
"422601","3","5"
"422608","2","2"
"422610","2","7"
"422611","2","115"
"422611","3","1"
"422612","2","5"
"422613","2","6"
"422615","2","3"
"422620","2","6"
"422621","2","54"
"422621","3","1"
"422622","2","1"
"422624","2","101"
"422624","3","1"
"422625","2","1"
"422627","2","41"
"422627","3","7"
"422630","2","2"
"422631","2","50"
"422632","2","26"
"422633","2","26"
"422634","2","6"
"422635","2","96"
"422635","3","4"
"422640","2","11"
"422642","2","3"
"422644","2","2"
"422650","2","1"
"422650","3","1"
"422651","2","84"
"422651","3","1"
"422654","2","171"
"422654","3","17"
"422656","2","46"
"422658","2","2"
"422659","2","16"
"422660","2","6"
"422660","3","3"
"422661","2","3"
"422663","2","8"
"422667","2","127"
"422667","3","18"
"422669","2","28"
"422669","3","1"
"422670","2","545"
"422670","3","2"
"422671","2","14"
"422671","3","1"
"422672","2","2"
"422673","2","1"
"422674","2","210"
"422674","3","6"
"422677","2","1"
"422678","2","1"
"422680","2","44"
"422680","3","1"
"422681","2","1"
"422684","2","35"
"422684","3","1"
"422686","2","1"
"422687","2","35"
"422687","3","3"
"422688","2","29"
"422688","3","2"
"422689","2","47"
"422690","2","3"
"422693","2","169"
"422693","3","12"
"422694","2","1"
"422697","2","22"
"422698","2","3"
"422701","2","11"
"422701","3","2"
"422707","2","19"
"422710","2","2"
"422713","2","25"
"422713","3","1"
"422716","2","43"
"422716","3","1"
"422717","2","3"
"422717","3","2"
"422719","2","52"
"422719","3","2"
"422721","2","10"
"422725","2","1"
"422725","3","1"
"422726","2","1"
"422727","2","4"
"422729","2","1"
"422732","2","1"
"422737","2","7"
"422737","3","10"
"422741","2","10"
"422741","3","1"
"422743","2","7"
"422746","2","6"
"422747","2","2"
"422748","2","2"
"422749","2","1"
"422752","2","104"
"422752","3","11"
"422753","2","1"
"422756","2","1"
"422759","2","2"
"422760","2","8"
"422763","2","4"
"422764","2","4"
"422764","3","1"
"422765","2","32"
"422766","2","3"
"422767","2","5"
"422767","3","1"
"422768","2","20"
"422768","3","3"
"422769","2","1"
"422769","3","1"
"422771","2","56"
"422771","3","2"
"422772","2","3"
"422773","2","8"
"422774","2","1"
"422777","2","1"
"422777","3","1"
"422778","2","25"
"422779","2","3"
"422780","2","20"
"422780","3","11"
"422781","2","7"
"422781","3","1"
"422784","2","1"
"422785","2","1"
"422788","2","2"
"422792","2","7"
"422795","2","1"
"422797","2","1028"
"422797","3","9"
"422798","2","1"
"422798","3","1"
"422800","2","1"
"422802","2","2"
"422803","2","34"
"422806","3","1"
"422808","2","1"
"422811","2","10"
"422812","2","22"
"422814","2","2"
"422816","2","1"
"422818","2","3"
"422821","2","62"
"422821","3","2"
"422822","2","9"
"422822","3","1"
"422824","2","7"
"422827","2","12"
"422829","2","4"
"422830","2","36"
"422830","3","5"
"422831","2","60"
"422831","3","1"
"422832","2","1"
"422833","2","13"
"422833","3","1"
"422835","2","24"
"422835","3","2"
"422836","2","34"
"422836","3","1"
"422837","2","2"
"422837","3","1"
"422838","2","4"
"422839","2","2"
"422841","2","18"
"422842","2","2"
"422843","2","5"
"422844","2","1"
"422844","3","5"
"422845","2","71"
"422845","3","2"
"422847","2","1"
"422848","2","21"
"422851","2","1"
"422855","2","25"
"422855","3","11"
"422857","2","1"
"422858","2","4"
"422859","2","158"
"422859","3","3"
"422862","2","3"
"422863","2","241"
"422863","3","7"
"422864","2","48"
"422864","3","5"
"422865","2","6"
"422868","2","1"
"422869","2","158"
"422869","3","2"
"422870","2","554"
"422870","3","10"
"422874","2","6"
"422877","2","56"
"422878","2","1"
"422879","2","2"
"422882","2","4"
"422883","2","2"
"422884","2","37"
"422884","3","2"
"422886","2","1"
"422887","2","3"
"422887","3","1"
"422891","2","51"
"422892","2","1"
"422894","2","37"
"422895","2","1"
"422899","2","11"
"422899","3","3"
"422900","2","1"
"422903","2","19"
"422904","2","11"
"422904","3","2"
"422905","2","3"
"422906","2","2"
"422910","2","13"
"422913","2","26"
"422914","2","2"
"422915","2","1"
"422916","2","12"
"422917","2","4"
"422918","2","2"
"422918","3","1"
"422922","2","5"
"422924","2","42"
"422924","3","2"
"422926","2","4"
"422927","2","3"
"422928","2","7"
"422930","2","4"
"422931","2","57"
"422931","3","6"
"422937","2","7"
"422937","3","1"
"422938","2","1"
"422941","2","1"
"422944","2","3"
"422944","3","5"
"422947","2","12"
"422951","2","15"
"422951","3","1"
"422952","2","61"
"422953","2","8"
"422954","2","1"
"422955","2","1"
"422957","2","28"
"422957","3","3"
"422959","2","12"
"422961","2","1"
"422966","2","1"
"422967","2","38"
"422967","3","4"
"422968","2","1"
"422970","2","2"
"422970","3","1"
"422974","2","2"
"422976","2","14"
"422976","3","2"
"422977","2","3"
"422979","2","41"
"422990","2","40"
"422991","2","10"
"422991","3","10"
"422995","2","22"
"422996","2","15"
"422997","2","5"
"422998","3","3"
"423000","2","50"
"423000","3","3"
"423001","2","1"
"423004","2","3"
"423006","2","9"
"423009","2","33"
"423011","2","6"
"423014","2","28"
"423016","2","1"
"423017","2","20"
"423017","3","2"
"423021","2","17"
"423022","2","10"
"423022","3","3"
"423025","2","1"
"423027","2","6"
"423031","2","4"
"423033","2","167"
"423033","3","3"
"423036","2","1"
"423037","2","40"
"423037","3","4"
"423039","2","6"
"423040","2","10"
"423045","2","11"
"423046","2","13"
"423046","3","1"
"423047","2","7"
"423047","3","3"
"423048","2","6"
"423054","2","93"
"423065","2","5"
"423068","2","95"
"423068","3","1"
"423073","2","1"
"423074","2","3"
"423075","2","1"
"423076","2","44"
"423076","3","1"
"423079","2","237"
"423079","3","6"
"423080","2","51"
"423080","3","5"
"423083","2","92"
"423083","3","8"
"423084","2","1"
"423086","2","3"
"423089","2","144"
"423089","3","2"
"423092","2","1"
"423095","2","28"
"423096","2","2"
"423097","2","1"
"423098","2","1"
"423099","2","1"
"423100","2","5"
"423100","3","1"
"423101","2","1"
"423102","2","8"
"423103","2","94"
"423103","3","11"
"423105","2","1147"
"423105","3","10"
"423107","2","55"
"423107","3","1"
"423108","2","3"
"423109","2","1"
"423110","2","4"
"423111","2","1"
"423112","2","9"
"423114","3","1"
"423115","2","11"
"423116","2","1"
"423119","2","7"
"423119","3","1"
"423120","2","11"
"423123","2","7"
"423124","2","4"
"423125","2","2"
"423127","2","3"
"423129","3","1"
"423135","2","1"
"423136","2","1"
"423137","2","1"
"423140","2","1"
"423143","2","6"
"423144","2","2"
"423152","2","12"
"423153","2","6"
"423154","2","2"
"423155","2","32"
"423155","3","5"
"423157","3","3"
"423158","2","6"
"423159","2","2"
"423160","2","32"
"423160","3","3"
"423165","2","6"
"423166","2","5"
"423167","2","17"
"423167","3","1"
"423170","2","500"
"423170","3","19"
"423171","2","301"
"423171","3","2"
"423173","2","2"
"423176","2","11"
"423178","2","37"
"423178","3","2"
"423180","2","3"
"423184","2","7"
"423185","2","11"
"423188","2","4"
"423192","2","2"
"423194","2","1"
"423197","2","7"
"423198","2","6"
"423199","2","89"
"423199","3","6"
"423201","2","3"
"423203","2","1"
"423204","2","1"
"423205","2","1"
"423207","2","1"
"423208","2","1"
"423208","3","1"
"423209","3","1"
"423214","2","7"
"423215","2","4"
"423215","3","1"
"423216","2","2"
"423218","2","176"
"423218","3","6"
"423220","2","3"
"423223","2","15"
"423224","2","53"
"423224","3","4"
"423226","2","40"
"423228","2","116"
"423228","3","10"
"423229","2","40"
"423231","2","36"
"423232","2","2"
"423233","2","4"
"423234","2","1"
"423235","2","92"
"423235","3","2"
"423236","2","2"
"423238","2","3"
"423239","2","3"
"423240","2","18"
"423240","3","2"
"423243","2","9"
"423249","2","1"
"423250","2","1"
"423251","2","186"
"423252","2","17"
"423257","2","2"
"423259","2","323"
"423259","3","7"
"423260","2","4"
"423260","3","1"
"423261","2","1"
"423263","2","1"
"423268","2","1"
"423273","2","2"
"423274","3","4"
"423276","2","8"
"423276","3","1"
"423277","2","50"
"423278","2","153"
"423278","3","1"
"423280","2","11"
"423281","2","2"
"423283","2","213"
"423283","3","17"
"423284","2","2"
"423285","2","20"
"423285","3","1"
"423286","2","9"
"423289","2","1"
"423290","2","2"
"423291","2","3"
"423292","2","15"
"423293","2","8"
"423295","2","1"
"423297","2","12"
"423298","2","1"
"423299","2","1"
"423301","2","18"
"423302","2","1"
"423305","2","43"
"423306","2","10"
"423306","3","1"
"423308","2","4"
"423309","2","6"
"423309","3","1"
"423310","3","1"
"423311","2","144"
