QuestionId,AnswerId,VoteTypeId,n,Post Link
"2509","3361501","2","3","2509"
"2509","3361501","3","1","2509"
"2509","23767371","","1","2509"
"2765","2774","2","12","2765"
"2767","2769","2","5","2767"
"2767","2769","3","1","2767"
"2767","2771","2","73","2767"
"2767","2771","3","1","2767"
"2767","2772","2","6","2767"
"2767","2776","2","12","2767"
"2767","2776","3","1","2767"
"2767","2799","2","31","2767"
"2767","2799","3","1","2767"
"2767","2800","2","41","2767"
"2767","2806","2","16","2767"
"2767","2877","2","15","2767"
"2767","2877","3","1","2767"
"2767","2910","2","3","2767"
"2767","15004","2","17","2767"
"2767","15018","2","1","2767"
"2767","15026","2","1","2767"
"2767","15046","2","10","2767"
"2767","15084","","1","2767"
"2767","15089","2","23","2767"
"2767","15089","3","1","2767"
"2767","25947","","1","2767"
"2767","32850","2","2","2767"
"2767","32983","","1","2767"
"2767","36788","2","4","2767"
"2767","43548","2","1","2767"
"2767","43548","3","1","2767"
"2767","47268","2","4","2767"
"2767","47268","3","1","2767"
"2767","51688","2","1","2767"
"2767","51688","3","1","2767"
"2767","51699","2","2","2767"
"2767","51720","","1","2767"
"2767","51728","","1","2767"
"2767","51784","2","3","2767"
"2767","58599","","1","2767"
"2767","62207","2","2","2767"
"2767","75338","2","72","2767"
"2767","75413","2","7","2767"
"2767","75663","2","1","2767"
"2767","75688","2","7","2767"
"2767","75936","","1","2767"
"2767","76072","","1","2767"
"2767","76087","","1","2767"
"2767","76110","","1","2767"
"2767","76149","","1","2767"
"2767","76150","2","2","2767"
"2767","76155","","1","2767"
"2767","76162","2","3","2767"
"2767","76219","2","1","2767"
"2767","76247","","1","2767"
"2767","76250","","1","2767"
"2767","76256","","1","2767"
"2767","76284","","1","2767"
"2767","76304","2","2","2767"
"2767","76312","","1","2767"
"2767","76363","","1","2767"
"2767","76468","","1","2767"
"2767","76481","","1","2767"
"2767","76507","","1","2767"
"2767","76558","","1","2767"
"2767","81038","2","5","2767"
"2767","81228","","1","2767"
"2767","81849","","1","2767"
"2767","94071","2","1","2767"
"2767","94098","","1","2767"
"2767","94130","","1","2767"
"2767","109052","","1","2767"
"2767","112535","2","2","2767"
"2767","112535","3","1","2767"
"2767","163966","2","2","2767"
"2767","333645","","1","2767"
"2767","353604","","1","2767"
"2767","353638","","1","2767"
"2767","353710","2","4","2767"
"2767","410810","","1","2767"
"2767","727853","2","1","2767"
"2767","876204","","1","2767"
"2767","1381689","2","1","2767"
"2767","1387468","2","1","2767"
"2767","1922103","","1","2767"
"2767","1922164","","1","2767"
"2767","2492868","","1","2767"
"2767","2645901","","1","2767"
"2767","3524131","","1","2767"
"2767","3647535","2","4","2767"
"2767","3962524","2","2","2767"
"2767","10456232","","1","2767"
"2770","2779","2","17","2770"
"2770","2790","2","4","2770"
"2770","2817","2","7","2770"
"2770","19060702","","1","2770"
"2840","2843","2","31","2840"
"2840","2855","","1","2840"
"2840","9870","","1","2840"
"2840","11352","2","12","2840"
"2840","74129","2","3","2840"
"2840","74129","3","1","2840"
"2840","752940","2","5","2840"
"2931","8307","2","1","2931"
"3281","3314","2","1","3281"
"3281","3318","2","1","3281"
"3281","4263","2","3","3281"
"3281","4270","2","9","3281"
"3281","5124209","","1","3281"
"3281","21015028","","1","3281"
"3470","3473","2","5","3470"
"3470","3475","","1","3470"
"3470","3478","","1","3470"
"3470","3513","","1","3470"
"3470","3533","2","1","3470"
"3470","142124","","1","3470"
"3654","3655","2","15","3654"
"3654","3655","3","8","3654"
"3654","3656","2","2","3654"
"3654","3656","3","1","3654"
"3654","3659","2","2","3654"
"3654","3659","3","2","3654"
"3654","3660","2","3","3654"
"3654","3660","3","1","3654"
"3654","3668","","1","3654"
"3654","3699","2","26","3654"
"3654","3699","3","1","3654"
"3654","3936","","1","3654"
"3654","3943","2","4","3654"
"3654","3943","3","1","3654"
"3654","20324","2","2","3654"
"3654","20324","3","1","3654"
"3654","20487","2","3","3654"
"3654","194049","2","7","3654"
"3654","194117","2","1","3654"
"3654","194158","","1","3654"
"3654","213273","3","1","3654"
"3654","2036932","2","1","3654"
"3790","3833","2","1","3790"
"3790","109733","","1","3790"
"3793","3794","","1","3793"
"3793","3799","2","3","3793"
"3793","3799","3","1","3793"
"3793","3896","2","9","3793"
"3793","3896","3","2","3793"
"3793","16882","2","17","3793"
"3793","16882","3","1","3793"
"3793","659159","","1","3793"
"3793","659264","2","48","3793"
"3793","1622498","","1","3793"
"3793","1655006","2","6","3793"
"3793","1704579","2","129","3793"
"3793","2460802","2","3","3793"
"3793","3474630","3","2","3793"
"3793","14164352","2","6","3793"
"3793","21642095","2","1","3793"
"3984","4092","2","2","3984"
"3984","418605","2","4","3984"
"3984","10225202","2","1","3984"
"3996","4043","2","3","3996"
"3996","4044","","1","3996"
"4164","4189","2","2","4164"
"4164","4209","2","2","4164"
"4164","4209","3","2","4164"
"4164","4232","","1","4164"
"4164","4249","2","2","4164"
"4164","4279","","1","4164"
"4164","4344","2","2","4164"
"4164","36894","","1","4164"
"4164","43572","2","1","4164"
"4164","43583","","1","4164"
"4164","45607","","1","4164"
"4164","67213","2","2","4164"
"4164","70570","2","2","4164"
"4164","77462","","1","4164"
"4164","89803","","1","4164"
"4164","92843","","1","4164"
"4164","129247","","1","4164"
"4164","3088668","2","2","4164"
"4168","4177","2","1","4168"
"4168","4185","","1","4168"
"4168","4577","2","26","4168"
"4168","4577","3","1","4168"
"4168","473219","2","1","4168"
"4170","4204","2","4","4170"
"4170","14218","","1","4170"
"4416","4427","2","1","4416"
"4416","4428","2","1","4416"
"4418","4420","2","4","4418"
"4418","4431","2","127","4418"
"4418","37161","2","39","4418"
"4418","37161","3","1","4418"
"4418","629605","2","5","4418"
"4418","4187271","2","102","4418"
"4418","7315150","2","5","4418"
"4418","8006225","2","2","4418"
"4418","9382152","2","4","4418"
"4418","9866308","2","36","4418"
"4418","9866308","3","1","4418"
"4418","11769049","2","19","4418"
"4418","13563827","2","3","4418"
"4418","19596410","","1","4418"
"4418","22300514","","1","4418"
"4418","22957276","2","7","4418"
"4418","23693898","","1","4418"
"4418","24087006","","1","4418"
"4418","25244434","","1","4418"
"4752","5475","2","1","4752"
"4752","7109","2","2","4752"
"4752","97256","2","4","4752"
"5460","5462","2","9","5460"
"5460","5465","2","7","5460"
"5460","5492","","1","5460"
"5460","5503","","1","5460"
"5460","34364","2","4","5460"
"5460","92653","2","2","5460"
"5460","242068","2","1","5460"
"5460","342698","2","2","5460"
"5690","5699","2","4","5690"
"5694","5695","2","66","5694"
"5694","876831","2","8","5694"
"5694","2912317","2","2","5694"
"5694","7042664","2","3","5694"
"5694","7239367","2","1","5694"
"5694","13995747","2","1","5694"
"5694","18078170","2","1","5694"
"6325","6333","2","65","6325"
"6325","6333","3","1","6325"
"6325","6337","2","5","6325"
"6325","6337","3","2","6325"
"6325","3659048","2","5","6325"
"6325","3659048","3","1","6325"
"6325","23984090","","1","6325"
"6326","6355","2","14","6326"
"6426","6429","2","7","6426"
"6426","6431","2","23","6426"
"6426","6434","2","1","6426"
"6426","6564","","1","6426"
"6426","6571","2","3","6426"
"6426","6573","2","4","6426"
"6426","50595","2","13","6426"
"6426","52690","2","7","6426"
"6426","3472641","2","3","6426"
"6426","11550633","","1","6426"
"6578","6592","2","10","6578"
"6578","6592","3","5","6578"
"6578","6598","2","5","6578"
"6578","6610","2","3","6578"
"6578","6614","2","134","6578"
"6578","6614","3","2","6578"
"6578","6776","2","3","6578"
"6578","6933","2","6","6578"
"6578","8078","2","12","6578"
"6578","8078","3","4","6578"
"6578","66772","","1","6578"
"6578","217226","2","6","6578"
"6578","217226","3","1","6578"
"6578","267594","2","2","6578"
"6578","267594","3","1","6578"
"6578","349176","2","4","6578"
"6578","382064","2","5","6578"
"6578","430854","2","3","6578"
"6578","2211835","","1","6578"
"6579","6581","2","6","6579"
"6579","6588","2","7","6579"
"6579","6621","2","4","6579"
"6579","33609","2","1","6579"
"6579","130221","2","2","6579"
"6681","6704","2","3","6681"
"6681","8029","2","3","6681"
"6681","395263","2","1","6681"
"7489","7506","","1","7489"
"7489","7511","","1","7489"
"7489","13384","2","2","7489"
"7489","78385","","1","7489"
"7489","192409","2","3","7489"
"8485","8495","2","3","8485"
"8485","32361","2","2","8485"
"8485","49184","2","6","8485"
"8493","8629","2","4","8493"
"8493","15363","2","5","8493"
"8493","36299","2","1","8493"
"8493","58236","2","3","8493"
"8496","8501","2","25","8496"
"8496","8501","3","1","8496"
"8496","27986","2","1","8496"
"8496","138912","2","1","8496"
"8496","279079","2","1","8496"
"8496","6138145","2","2","8496"
"8496","6202975","2","8","8496"
"8496","8919915","2","18","8496"
"8496","9277679","2","4","8496"
"8508","8515","2","5","8508"
"8508","8835","","1","8508"
"8508","11717","2","2","8508"
"8508","11725","2","2","8508"
"8508","19125418","","1","8508"
"8517","8522","","1","8517"
"8517","36791","2","3","8517"
"8517","1378085","2","1","8517"
"9612","9617","","1","9612"
"9612","9638","","1","9612"
"9612","2125986","2","1","9612"
"9614","9625","2","2","9614"
"9614","9626","2","2","9614"
"9614","9626","3","3","9614"
"9614","9635","2","5","9614"
"9687","9889","2","5","9687"
"9687","9918","2","1","9687"
"9687","1081248","2","1","9687"
"9882","9886","2","10","9882"
"9882","9980","2","2","9882"
"9882","10576","","1","9882"
"9882","10589","2","1","9882"
"9882","12321","2","2","9882"
"9882","12379","2","1","9882"
"9882","12466","2","6","9882"
"9882","12558","","1","9882"
"9882","12566","","1","9882"
"9882","119150","","1","9882"
"10149","10161","2","4","10149"
"10149","10164","2","1","10149"
"10149","10202","","1","10149"
"10149","24920","2","1","10149"
"10149","60207","2","1","10149"
"10475","10479","2","28","10475"
"10475","10483","2","3","10475"
"10475","10483","3","1","10475"
"10475","10487","2","7","10475"
"10475","10505","2","1","10475"
"10475","10508","","1","10475"
"10475","10550","2","1","10475"
"10475","10612","2","13","10475"
"10475","10633","2","3","10475"
"10475","10662","2","1","10475"
"10475","57018","2","9","10475"
"10475","820535","2","2","10475"
"10475","2367975","2","1","10475"
"10475","2569103","2","2","10475"
"10475","4073521","2","5","10475"
"10477","10538","2","4","10477"
"10477","855177","2","9","10477"
"10478","10502","2","4","10478"
"10478","13904","2","1","10478"
"10478","13907","3","1","10478"
"10478","13914","3","3","10478"
"10478","169873","2","9","10478"
"10635","10638","2","51","10635"
"10635","10640","2","4","10635"
"10635","11549657","2","1","10635"
"10635","16141428","2","1","10635"
"10635","19974975","2","2","10635"
"10635","21922658","","1","10635"
"10644","10649","2","1","10644"
"10644","10650","2","4","10644"
"10644","10651","2","38","10644"
"10644","10652","2","29","10644"
"10644","10655","2","29","10644"
"10644","10655","3","1","10644"
"10644","10656","2","6","10644"
"10644","10664","2","3","10644"
"10644","10664","3","1","10644"
"10644","10789","","1","10644"
"10644","10854","2","7","10644"
"10644","231577","2","2","10644"
"10644","401660","2","6","10644"
"10644","849471","2","1","10644"
"10644","849511","","1","10644"
"10644","851347","2","1","10644"
"10644","857781","2","32","10644"
"10644","959842","","1","10644"
"10644","1171369","2","2","10644"
"10644","1632458","2","11","10644"
"10644","2221768","2","2","10644"
"10644","6550853","","1","10644"
"10680","10684","2","15","10680"
"10680","10686","2","7","10680"
"10680","10770","","1","10680"
"10680","10796","2","1","10680"
"10680","3273116","2","3","10680"
"11246","11252","2","3","11246"
"11246","11254","2","8","11246"
"11246","11255","2","1","11246"
"11246","11255","3","1","11246"
"11246","11258","2","7","11246"
"11246","11260","2","7","11246"
"11246","11260","3","1","11246"
"11246","11262","","1","11246"
"11246","11266","2","210","11246"
"11246","11266","3","1","11246"
"11246","11268","2","4","11246"
"11246","11268","3","14","11246"
"11246","11280","2","4","11246"
"11246","11280","3","4","11246"
"11246","11287","2","8","11246"
"11246","12329","2","38","11246"
"11246","12393","2","3","11246"
"11246","12422","2","3","11246"
"11246","72574","2","7","11246"
"11246","598050","2","2","11246"
"11246","646061","","1","11246"
"11246","1531738","2","286","11246"
"11246","2892847","2","61","11246"
"11246","5220798","2","2","11246"
"11246","5358616","2","4","11246"
"11246","5648126","","1","11246"
"11246","6754432","","1","11246"
"11246","6771056","2","10","11246"
"11246","6771260","2","3","11246"
"11246","6771656","","1","11246"
"11246","6771875","","1","11246"
"11246","6773691","2","35","11246"
"11246","6774852","2","15","11246"
"11246","6775901","2","2","11246"
"11246","6777679","2","2","11246"
"11246","6779209","2","3","11246"
"11246","6797670","2","2","11246"
"11246","6806846","","1","11246"
"11246","7155725","2","2","11246"
"11246","7580768","2","1","11246"
"11246","7935690","2","1","11246"
"11246","8041423","2","1","11246"
"11246","8191096","2","1","11246"
"11459","11465","2","7","11459"
"11459","11468","2","2","11459"
"11459","11495","2","4","11459"
"11459","11505","2","2","11459"
"11459","16786","2","1","11459"
"11459","18970","2","4","11459"
"11459","20669","2","4","11459"
"11459","25093","2","1","11459"
"11459","30492","2","6","11459"
"11459","31563","","1","11459"
"11459","104027","2","1","11459"
"11459","171189","2","1","11459"
"11460","11472","2","3","11460"
"11460","11541","2","1","11460"
"11462","11478","2","14","11462"
"11462","11486","2","3","11462"
"11462","11573","2","6","11462"
"11462","11588","2","20","11462"
"11462","11692","2","5","11462"
"11462","11704","2","2","11462"
"11462","11739","2","3","11462"
"11462","80110","2","11","11462"
"11462","80110","3","1","11462"
"11462","124511","2","5","11462"
"11462","407911","2","16","11462"
"11462","460100","2","3","11462"
"11462","780886","2","10","11462"
"11462","1315173","2","2","11462"
"11462","2813875","2","2","11462"
"11462","4500707","2","3","11462"
"11462","4719450","2","2","11462"
"11462","9074320","2","5","11462"
"12225","12257","","1","12225"
"12225","16718","2","1","12225"
"12304","12320","2","1","12304"
"12304","12384","2","1","12304"
"12304","12623","","1","12304"
"12306","12314","2","1","12306"
"12306","12315","2","2","12306"
"12306","12342","2","45","12306"
"12306","9809872","2","4","12306"
"12306","21435254","2","1","12306"
"12565","12575","2","7","12565"
"12565","12587","2","1","12565"
"12565","12587","3","1","12565"
"12565","12608","2","3","12565"
"12565","12608","3","1","12565"
"12565","13935","2","43","12565"
"12565","80928","2","2","12565"
"12565","710327","2","12","12565"
"12565","1563105","2","1","12565"
"12924","12925","2","11","12924"
"12924","12925","3","1","12924"
"12924","13922","2","2","12924"
"12924","17288","2","1","12924"
"12924","17288","3","1","12924"
"12924","17291","2","4","12924"
"12924","17291","3","1","12924"
"12924","17309","2","1","12924"
"12924","17309","3","1","12924"
"12924","151892","2","1","12924"
"12924","282638","2","5","12924"
"12924","923884","2","2","12924"
"12924","21559660","","1","12924"
"12924","25457023","","1","12924"
"13396","13399","2","1","13396"
"13396","13399","3","1","13396"
"13396","13403","2","1","13396"
"13396","13405","2","2","13396"
"13396","13406","2","3","13396"
"13396","13406","3","1","13396"
"13396","13435","2","4","13396"
"13396","6477444","2","1","13396"
"13498","13505","2","2","13498"
"13498","13507","2","2","13498"
"13498","18940","2","1","13498"
"13498","254685","2","1","13498"
"13578","13581","2","1","13578"
"13578","13600","2","4","13578"
"13578","543364","","1","13578"
"13698","13739","","1","13698"
"13698","13777","2","4","13698"
"13698","13784","","1","13698"
"13698","36934","2","1","13698"
"13698","267174","3","2","13698"
"13704","13706","2","4","13704"
"13704","13714","2","1","13704"
"13704","13726","2","3","13704"
"13704","31588","2","1","13704"
"13745","13747","2","1","13745"
"13745","13747","3","2","13745"
"13745","13756","2","11","13745"
"13745","15666","2","5","13745"
"13745","15666","3","1","13745"
"13745","15670","2","10","13745"
"14209","14214","2","2","14209"
"14209","14217","2","1","14209"
"14209","14222","","1","14209"
"14209","1086442","2","8","14209"
"14209","17092076","","1","14209"
"14209","17115681","2","1","14209"
"14271","14272","2","1","14271"
"14308","14327","2","7","14308"
"14308","14351","","1","14308"
"14308","14356","2","1","14308"
"14308","14393","2","7","14308"
"14308","14429","2","1","14308"
"14308","14623","2","1","14308"
"14308","371823","","1","14308"
"14308","371848","","1","14308"
"14310","14311","2","4","14310"
"14801","14920","2","1","14801"
"14801","15279","2","1","14801"
"14874","14947","2","2","14874"
"14874","15081","","1","14874"
"14874","15489","2","1","14874"
"14874","66556","2","2","14874"
"14874","71696","2","1","14874"
"14878","14907","2","2","14878"
"14878","14925","2","1","14878"
"14878","15170","2","2","14878"
"14878","29227","2","2","14878"
"14878","194511","","1","14878"
"14878","795757","","1","14878"
"14878","1989602","2","2","14878"
"14884","14892","2","5","14884"
"14884","14895","2","5","14884"
"14884","14899","2","7","14884"
"14884","14904","2","3","14884"
"14884","14906","2","1","14884"
"14884","14906","3","2","14884"
"14884","23622","2","2","14884"
"14884","37179","","1","14884"
"14884","104979","2","2","14884"
"15228","15235","2","2","15228"
"15228","15239","2","6","15228"
"15228","15242","2","1","15228"
"15228","15274","","1","15228"
"15228","578509","2","3","15228"
"15228","578509","3","1","15228"
"15228","18512238","","1","15228"
"15481","15501","2","17","15481"
"15481","15501","3","2","15481"
"15481","15644","","1","15481"
"15481","15658","2","13","15481"
"15481","15663","","1","15481"
"15481","15665","2","1","15481"
"15481","15827","","1","15481"
"15481","15894","2","1","15481"
"15481","15939","2","28","15481"
"15481","15944","2","1","15481"
"15481","17643","2","1","15481"
"15481","17756","2","2","15481"
"15486","15491","2","11","15486"
"15486","15491","3","1","15486"
"15486","15492","2","2","15486"
"15486","15494","2","41","15486"
"15486","15495","2","38","15486"
"15486","16025","","1","15486"
"15486","83241","","1","15486"
"15486","512755","","1","15486"
"15486","1087089","","1","15486"
"15486","3242024","2","1","15486"
"15486","3691280","2","1","15486"
"15486","4388250","2","1","15486"
"15486","5037815","2","26","15486"
"15486","12211204","","1","15486"
"16306","16313","","1","16306"
"16306","16315","2","1","16306"
"16306","16316","2","2","16306"
"16306","16318","2","10","16306"
"16317","16336","2","7","16317"
"16317","16353","","1","16317"
"16317","16560","2","1","16317"
"16317","16760","2","3","16317"
"16317","157877","2","2","16317"
"16317","235992","2","3","16317"
"16363","16390","2","21","16363"
"16363","16400","","1","16363"
"16363","1645741","2","2","16363"
"16363","1904499","2","11","16363"
"16363","5235353","2","3","16363"
"16443","16840","2","7","16443"
"16443","13625295","","1","16443"
"16716","16722","2","6","16716"
"16716","16724","2","4","16716"
"16716","16728","2","1","16716"
"16716","16730","2","23","16716"
"16716","16750","2","6","16716"
"16716","46662","2","2","16716"
"17032","17041","2","2","17032"
"17032","17042","2","34","17032"
"17032","17042","3","3","17032"
"17032","17043","","1","17032"
"17032","17044","","1","17032"
"17032","17045","2","1","17032"
"17032","17100","2","5","17032"
"17032","17100","3","2","17032"
"17032","17126","2","1","17032"
"17032","17313","","1","17032"
"17032","17347","2","6","17032"
"17032","18091","","1","17032"
"17032","111475","2","7","17032"
"17032","660829","2","1","17032"
"17225","17245","2","3","17225"
"17225","17293","2","8","17225"
"17225","17293","3","1","17225"
"17225","17304","2","13","17225"
"17225","17331","2","2","17225"
"17225","17468","2","2","17225"
"17225","17468","3","1","17225"
"17225","18328","2","3","17225"
"17228","17232","2","6","17228"
"17228","17232","3","1","17228"
"17228","17249","2","7","17228"
"17228","17256","2","16","17228"
"17228","17301","","1","17228"
"17228","17329","2","6","17228"
"17228","17475","2","3","17228"
"17228","34050","","1","17228"
"17228","317022","2","11","17228"
"17228","351270","","1","17228"
"17228","351281","2","3","17228"
"17228","351283","2","7","17228"
"17228","351348","2","7","17228"
"17228","353787","","1","17228"
"17228","563443","2","10","17228"
"17228","563443","3","1","17228"
"17228","563490","2","27","17228"
"17228","563504","2","2","17228"
"17228","563514","2","1","17228"
"17228","607749","2","1","17228"
"17228","1955225","2","1","17228"
"17228","1955392","2","5","17228"
"17228","1955479","","1","17228"
"17228","1955564","","1","17228"
"17228","3759296","","1","17228"
"17228","5207088","","1","17228"
"18614","18669","2","2","18614"
"18617","18623","2","65","18617"
"18617","16759608","2","3","18617"
"18617","20692672","2","1","18617"
"18719","18740","2","3","18719"
"18719","18762","","1","18719"
"18719","18769","","1","18719"
"18719","18958","2","1","18719"
"18719","19029","","1","18719"
"18719","154452","2","1","18719"
"18719","154546","","1","18719"
"18722","18736","2","1","18722"
"18722","18736","3","1","18722"
"18722","18742","2","3","18722"
"18722","18791","2","1","18722"
"18722","18825","2","1","18722"
"18722","19196","","1","18722"
"18722","23152","2","1","18722"
"18861","18874","2","4","18861"
"18861","18881","","1","18861"
"18861","18884","2","12","18861"
"18861","18886","","1","18861"
"18861","18892","","1","18861"
"18861","18903","","1","18861"
"18861","18997","","1","18861"
"18861","19026","","1","18861"
"18861","19341","","1","18861"
"18869","22203","","1","18869"
"18869","160166","2","1","18869"
"18869","160279","2","2","18869"
"18869","168540","","1","18869"
"18869","623602","2","9","18869"
"19096","19103","2","6","19096"
"19096","19325","2","2","19096"
"19096","118642","2","5","19096"
"19096","1833835","2","1","19096"
"19096","1923790","2","2","19096"
"19096","2644678","","1","19096"
"19096","21640596","2","4","19096"
"19162","19171","2","17","19162"
"19314","19333","","1","19314"
"19314","19344","2","11","19314"
"19314","230012","2","1","19314"
"19314","427650","2","2","19314"
"19314","427668","","1","19314"
"19314","10542699","","1","19314"
"19653","19676","","1","19653"
"19653","19678","","1","19653"
"19653","19754","2","1","19653"
"19654","19665","","1","19654"
"19654","19668","2","4","19654"
"19654","19685","","1","19654"
"19654","19692","2","2","19654"
"19654","19700","2","1","19654"
"19654","19715","2","12","19654"
"19654","19943","","1","19654"
"19654","19968","2","1","19654"
"19656","19658","2","2","19656"
"19656","19663","2","8","19656"
"19656","19667","2","1","19656"
"19656","19669","","1","19656"
"20127","20141","","1","20127"
"20127","20151","2","3","20127"
"20127","20870","2","3","20127"
"20127","78690","2","3","20127"
"20127","374308","2","2","20127"
"20127","377671","2","1","20127"
"20127","402571","","1","20127"
"20227","20670","2","38","20227"
"20227","10164989","2","7","20227"
"20227","10164989","3","1","20227"
"20227","11367849","2","3","20227"
"20227","11367849","3","1","20227"
"20227","13612902","2","7","20227"
"20227","13612902","3","1","20227"
"20227","25397364","","1","20227"
"20391","20405","3","3","20391"
"20391","20408","2","4","20391"
"20391","20408","3","1","20391"
"20391","20444","2","4","20391"
"20391","20453","2","3","20391"
"20392","20402","2","1","20392"
"20392","20402","3","1","20392"
"20392","20410","","1","20392"
"20392","20417","2","1","20392"
"20392","20486","2","1","20392"
"20814","20885","2","1","20814"
"20821","97553","2","1","20821"
"20821","170443","","1","20821"
"20821","548863","","1","20821"
"20861","20897","","1","20861"
"20861","20982","2","1","20861"
"20861","62563","2","3","20861"
"20861","62563","3","1","20861"
"20861","62610","2","3","20861"
"20861","553847","2","1","20861"
"20861","553859","","1","20861"
"21817","21819","2","5","21817"
"21817","21819","3","2","21817"
"21817","21823","2","18","21817"
"21817","21823","3","5","21817"
"21817","21826","2","28","21817"
"21817","21826","3","4","21817"
"21817","21837","2","3","21817"
"21817","21837","3","2","21817"
"21817","21845","2","1","21817"
"21817","21845","3","2","21817"
"21817","22497","2","48","21817"
"21817","138340","2","5","21817"
"21817","138340","3","1","21817"
"21817","520094","2","4","21817"
"21817","18841163","2","1","21817"
"21817","19134923","2","1","21817"
"21817","20591367","","1","21817"
"21817","22711415","","1","21817"
"21869","21872","2","3","21869"
"21869","21922","2","3","21869"
"21869","22709","2","1","21869"
"21869","22717","","1","21869"
"21869","22724","","1","21869"
"21869","22730","","1","21869"
"21869","22754","2","1","21869"
"21869","69773","","1","21869"
"21869","217059","2","1","21869"
"22140","22210","2","1","22140"
"22140","27644","","1","22140"
"22140","27902","","1","22140"
"22140","47738","","1","22140"
"22145","22167","2","1","22145"
"22145","22170","2","7","22145"
"22145","22182","2","3","22145"
"22145","22182","3","1","22145"
"22145","23625","2","2","22145"
"22145","39173","2","3","22145"
"22145","1764948","","1","22145"
"22980","23137","2","10","22980"
"22981","22992","2","2","22981"
"22981","23000","2","3","22981"
"22981","23003","","1","22981"
"23715","23718","","1","23715"
"23715","23723","","1","23715"
"23715","23732","2","7","23715"
"23763","23795","2","7","23763"
"23763","27185","2","3","23763"
"23763","4720882","2","1","23763"
"23763","20411373","2","1","23763"
"23988","23991","2","1","23988"
"23988","23997","2","3","23988"
"24004","24007","2","3","24004"
"24004","24009","2","3","24004"
"24004","24013","2","3","24004"
"24004","24016","2","2","24004"
"24004","24017","2","6","24004"
"24004","24021","2","3","24004"
"24004","16434759","","1","24004"
"24165","24578","2","3","24165"
"24165","25317","2","4","24165"
"24165","25319","2","1","24165"
"24165","107242","2","4","24165"
"24165","133831","2","3","24165"
"24991","24996","2","1","24991"
"24991","24997","2","20","24991"
"24991","24997","3","3","24991"
"24991","25010","","1","24991"
"24991","25877","2","12","24991"
"24993","25004","","1","24993"
"24993","25075","2","6","24993"
"24993","25075","3","1","24993"
"24993","1711550","2","1","24993"
"24993","2423898","2","4","24993"
"24995","24998","2","7","24995"
"24995","24999","2","3","24995"
"24995","25000","2","9","24995"
"24995","25028","2","3","24995"
"24995","25246","","1","24995"
"24995","25334","2","3","24995"
"24995","25340","2","2","24995"
"24995","25340","3","1","24995"
"24995","217620","2","7","24995"
"25116","25123","2","3","25116"
"25116","25123","3","1","25116"
"25116","25180","2","20","25116"
"25116","25180","3","1","25116"
"25116","7357938","2","34","25116"
"25252","26415","2","1","25252"
"25252","26431","2","1","25252"
"25252","340769","2","4","25252"
"25252","3091577","","1","25252"
"25252","4786171","","1","25252"
"26771","26786","","1","26771"
