PostTypeId,OwnerUserId,User Link,n
"1","78248","78248","3"
"2","78248","78248","4"
"1","78254","78254","23"
"2","78254","78254","44"
"1","78255","78255","15"
"2","78255","78255","22"
"1","78256","78256","15"
"2","78256","78256","3"
"1","78258","78258","21"
"2","78258","78258","17"
"1","78259","78259","91"
"2","78259","78259","652"
"1","78263","78263","2"
"2","78263","78263","1"
"2","78264","78264","28"
"2","78278","78278","4"
"1","78279","78279","5"
"2","78279","78279","61"
"1","78283","78283","2"
"2","78283","78283","1"
"2","78286","78286","1"
"1","78289","78289","52"
"2","78289","78289","4"
"1","78291","78291","3"
"2","78291","78291","6"
"1","78292","78292","14"
"2","78292","78292","21"
"1","78295","78295","2"
"2","78296","78296","15"
"1","78297","78297","52"
"2","78297","78297","21"
"4","78297","78297","1"
"5","78297","78297","1"
"1","78300","78300","10"
"2","78300","78300","6"
"1","78305","78305","26"
"2","78305","78305","48"
"1","78308","78308","1"
"1","78310","78310","25"
"2","78310","78310","22"
"1","78313","78313","1"
"2","78313","78313","16"
"1","78316","78316","8"
"2","78316","78316","27"
"1","78327","78327","2"
"1","78331","78331","37"
"2","78331","78331","6"
"1","78332","78332","4"
"2","78332","78332","3"
"1","78334","78334","62"
"2","78334","78334","14"
"1","78336","78336","64"
"2","78336","78336","198"
"1","78342","78342","8"
"2","78342","78342","25"
"1","78343","78343","3"
"2","78343","78343","1"
"1","78344","78344","4"
"2","78344","78344","1"
"1","78345","78345","2"
"2","78345","78345","15"
"1","78351","78351","50"
"2","78351","78351","43"
"1","78356","78356","5"
"2","78356","78356","10"
"1","78359","78359","3"
"2","78359","78359","1"
"1","78361","78361","2"
"2","78361","78361","3"
"1","78364","78364","6"
"2","78364","78364","5"
"1","78365","78365","9"
"1","78367","78367","8"
"2","78367","78367","2"
"1","78369","78369","1"
"2","78369","78369","1"
"1","78370","78370","3"
"2","78370","78370","5"
"1","78374","78374","365"
"2","78374","78374","454"
"1","78377","78377","10"
"2","78377","78377","106"
"1","78380","78380","16"
"2","78380","78380","7"
"1","78384","78384","19"
"2","78384","78384","42"
"1","78385","78385","15"
"2","78385","78385","31"
"1","78388","78388","12"
"2","78388","78388","4"
"1","78390","78390","10"
"2","78390","78390","4"
"1","78396","78396","10"
"2","78396","78396","2"
"1","78398","78398","4"
"2","78398","78398","46"
"1","78402","78402","3"
"2","78402","78402","1"
"1","78404","78404","10"
"2","78404","78404","13"
"1","78408","78408","2"
"2","78408","78408","7"
"1","78409","78409","33"
"2","78409","78409","32"
"2","78412","78412","5"
"1","78414","78414","13"
"2","78414","78414","10"
"1","78416","78416","6"
"2","78416","78416","6"
"1","78421","78421","1"
"2","78421","78421","4"
"2","78424","78424","4"
"1","78426","78426","8"
"2","78426","78426","15"
"1","78427","78427","3"
"2","78427","78427","2"
"1","78428","78428","17"
"2","78428","78428","32"
"2","78429","78429","41"
"1","78436","78436","15"
"2","78436","78436","292"
"1","78437","78437","5"
"2","78437","78437","21"
"1","78441","78441","2"
"1","78448","78448","2"
"2","78448","78448","59"
"1","78449","78449","4"
"2","78452","78452","7"
"1","78453","78453","3"
"2","78453","78453","4"
"1","78455","78455","3"
"2","78455","78455","14"
"1","78457","78457","1"
"2","78460","78460","1"
"1","78463","78463","5"
"1","78466","78466","1"
"2","78466","78466","1"
"1","78474","78474","7"
"2","78474","78474","37"
"2","78483","78483","9"
"1","78484","78484","36"
"2","78484","78484","8"
"2","78489","78489","7"
"1","78490","78490","1"
"2","78490","78490","2"
"1","78493","78493","23"
"2","78493","78493","1"
"1","78496","78496","4"
"2","78496","78496","27"
"2","78504","78504","3"
"1","78506","78506","32"
"2","78506","78506","14"
"1","78510","78510","17"
"2","78510","78510","2"
"2","78512","78512","2"
"1","78516","78516","79"
"2","78516","78516","15"
"2","78519","78519","1"
"1","78522","78522","62"
"2","78522","78522","585"
"1","78528","78528","5"
"2","78530","78530","16"
"1","78534","78534","5"
"2","78534","78534","188"
"1","78535","78535","5"
"2","78535","78535","2"
"1","78550","78550","51"
"2","78550","78550","16"
"1","78551","78551","6"
"2","78551","78551","59"
"1","78553","78553","1"
"1","78554","78554","1"
"2","78554","78554","44"
"1","78555","78555","5"
"2","78555","78555","1"
"1","78561","78561","34"
"2","78561","78561","34"
"1","78564","78564","1"
"1","78567","78567","1"
"2","78567","78567","4"
"1","78568","78568","14"
"2","78568","78568","70"
"1","78569","78569","9"
"2","78569","78569","12"
"1","78573","78573","9"
"2","78573","78573","1"
"1","78576","78576","24"
"2","78576","78576","19"
"1","78578","78578","16"
"2","78578","78578","11"
"1","78579","78579","94"
"2","78579","78579","5"
"1","78584","78584","4"
"2","78584","78584","2"
"1","78598","78598","16"
"2","78598","78598","8"
"2","78599","78599","13"
"1","78601","78601","5"
"2","78601","78601","35"
"2","78602","78602","14"
"1","78604","78604","4"
"2","78604","78604","2"
"1","78610","78610","14"
"2","78610","78610","4"
"1","78613","78613","17"
"2","78613","78613","363"
"1","78615","78615","6"
"2","78615","78615","19"
"1","78617","78617","2"
"2","78617","78617","5"
"1","78621","78621","12"
"2","78621","78621","9"
"1","78627","78627","22"
"2","78628","78628","1"
"1","78629","78629","21"
"2","78629","78629","3"
"2","78633","78633","56"
"1","78636","78636","1"
"1","78639","78639","7"
"2","78639","78639","92"
"1","78640","78640","29"
"2","78640","78640","20"
"1","78642","78642","31"
"2","78642","78642","11"
"1","78645","78645","1"
"1","78646","78646","5"
"2","78646","78646","1"
"1","78649","78649","14"
"2","78649","78649","10"
"1","78651","78651","1"
"2","78651","78651","1"
"1","78656","78656","4"
"2","78656","78656","2"
"1","78659","78659","4"
"1","78665","78665","3"
"2","78665","78665","6"
"1","78666","78666","18"
"2","78666","78666","41"
"1","78667","78667","55"
"2","78667","78667","182"
"1","78672","78672","9"
"2","78672","78672","4"
"1","78677","78677","3"
"2","78677","78677","55"
"1","78679","78679","5"
"2","78679","78679","5"
"1","78685","78685","43"
"2","78685","78685","124"
"1","78687","78687","24"
"2","78687","78687","13"
"1","78688","78688","8"
"2","78688","78688","6"
"1","78693","78693","1"
"2","78693","78693","1"
"1","78699","78699","1"
"2","78699","78699","2"
"2","78701","78701","9"
"1","78706","78706","38"
"2","78706","78706","64"
"1","78711","78711","1"
"1","78712","78712","30"
"2","78712","78712","172"
"1","78716","78716","78"
"2","78716","78716","95"
"1","78718","78718","3"
"1","78720","78720","29"
"2","78720","78720","135"
"4","78720","78720","1"
"1","78722","78722","2"
"2","78722","78722","18"
"1","78723","78723","11"
"2","78723","78723","36"
"2","78733","78733","11"
"1","78736","78736","17"
"2","78736","78736","20"
"2","78738","78738","168"
"1","78739","78739","14"
"2","78739","78739","4"
"1","78742","78742","18"
"2","78742","78742","9"
"1","78743","78743","10"
"2","78743","78743","79"
"4","78743","78743","1"
"5","78743","78743","1"
"1","78745","78745","19"
"2","78745","78745","26"
"1","78746","78746","8"
"2","78746","78746","4"
"1","78748","78748","1"
"2","78748","78748","1"
"1","78750","78750","1"
"2","78757","78757","21"
"1","78768","78768","4"
"2","78768","78768","1"
"1","78773","78773","10"
"2","78773","78773","3"
"1","78774","78774","6"
"2","78774","78774","5"
"1","78775","78775","7"
"2","78775","78775","1"
"2","78778","78778","4"
"1","78782","78782","47"
"2","78782","78782","301"
"4","78782","78782","3"
"5","78782","78782","3"
"1","78792","78792","3"
"2","78792","78792","23"
"1","78793","78793","37"
"2","78793","78793","15"
"1","78798","78798","1"
"1","78804","78804","13"
"2","78804","78804","32"
"2","78806","78806","1"
"1","78815","78815","15"
"2","78815","78815","10"
"1","78823","78823","9"
"2","78823","78823","8"
"1","78828","78828","37"
"2","78828","78828","18"
"1","78830","78830","2"
"2","78830","78830","38"
"2","78837","78837","1"
"1","78840","78840","1"
"2","78840","78840","23"
"2","78841","78841","1"
"1","78843","78843","23"
"2","78843","78843","43"
"1","78845","78845","3"
"2","78845","78845","1078"
"4","78845","78845","3"
"5","78845","78845","3"
"1","78847","78847","32"
"1","78848","78848","3"
"2","78848","78848","3"
"2","78854","78854","1"
"1","78857","78857","1"
"2","78864","78864","1"
"1","78869","78869","1"
"2","78869","78869","13"
"1","78877","78877","21"
"2","78877","78877","11"
"2","78878","78878","11"
"1","78881","78881","2"
"1","78886","78886","2"
"2","78886","78886","33"
"1","78892","78892","8"
"2","78892","78892","67"
"2","78894","78894","4"
"1","78900","78900","29"
"2","78900","78900","1"
"1","78901","78901","1"
"2","78901","78901","1"
"1","78903","78903","12"
"2","78903","78903","8"
"1","78909","78909","1"
"2","78909","78909","11"
"1","78912","78912","45"
"2","78912","78912","36"
"1","78921","78921","1"
"2","78921","78921","14"
"1","78928","78928","16"
"2","78928","78928","144"
"1","78931","78931","7"
"2","78931","78931","28"
"1","78933","78933","1"
"2","78933","78933","1"
"1","78935","78935","22"
"2","78935","78935","19"
"1","78936","78936","7"
"2","78936","78936","46"
"1","78939","78939","2"
"2","78939","78939","37"
"1","78944","78944","7"
"2","78944","78944","73"
"1","78947","78947","40"
"2","78947","78947","21"
"2","78948","78948","1"
"1","78949","78949","51"
"2","78949","78949","107"
"1","78952","78952","8"
"1","78959","78959","1"
"2","78959","78959","4"
"2","78963","78963","3"
"1","78966","78966","8"
"1","78967","78967","10"
"2","78967","78967","4"
"1","78969","78969","1"
"2","78969","78969","2"
"1","78970","78970","91"
"2","78970","78970","4"
"2","78972","78972","4"
"4","78972","78972","2"
"5","78972","78972","1"
"1","78973","78973","6"
"2","78973","78973","31"
"2","79006","79006","3"
"1","79015","79015","6"
"2","79015","79015","1"
"1","79016","79016","1"
"2","79016","79016","1"
"1","79020","79020","9"
"2","79020","79020","5"
"1","79024","79024","3"
"2","79024","79024","6"
"1","79026","79026","2"
"1","79033","79033","9"
"2","79033","79033","11"
"1","79036","79036","5"
"2","79036","79036","10"
"1","79038","79038","8"
"2","79038","79038","20"
"1","79046","79046","3"
"2","79046","79046","4"
"1","79047","79047","13"
"2","79047","79047","57"
"1","79048","79048","13"
"2","79048","79048","6"
"1","79051","79051","1"
"2","79051","79051","4"
"1","79052","79052","10"
"2","79052","79052","13"
"1","79055","79055","19"
"2","79055","79055","57"
"1","79057","79057","34"
"2","79057","79057","12"
"1","79061","79061","5"
"2","79061","79061","441"
"4","79061","79061","2"
"5","79061","79061","1"
"1","79068","79068","7"
"2","79068","79068","107"
"1","79071","79071","3"
"2","79071","79071","5"
"1","79072","79072","15"
"2","79072","79072","2"
"1","79076","79076","55"
"2","79076","79076","132"
"1","79078","79078","30"
"2","79078","79078","59"
"1","79079","79079","17"
"2","79079","79079","30"
"2","79087","79087","3"
"1","79088","79088","4"
"2","79088","79088","16"
"1","79093","79093","5"
"2","79093","79093","1"
"1","79094","79094","9"
"2","79094","79094","4"
"1","79096","79096","2"
"2","79096","79096","13"
"1","79101","79101","16"
"2","79101","79101","47"
"2","79103","79103","4"
"1","79106","79106","2"
"2","79106","79106","1"
"1","79109","79109","115"
"2","79109","79109","26"
"1","79111","79111","22"
"2","79111","79111","65"
"1","79113","79113","10"
"2","79113","79113","9"
"1","79118","79118","1"
"1","79121","79121","11"
"2","79121","79121","9"
"1","79122","79122","5"
"2","79122","79122","4"
"1","79125","79125","30"
"2","79125","79125","143"
"4","79125","79125","1"
"5","79125","79125","1"
"1","79126","79126","68"
"2","79126","79126","29"
"1","79127","79127","11"
"1","79129","79129","56"
"2","79129","79129","127"
"1","79133","79133","1"
"1","79141","79141","2"
"2","79141","79141","17"
"1","79143","79143","8"
"2","79143","79143","1"
"1","79144","79144","3"
"2","79144","79144","7"
"1","79145","79145","18"
"2","79145","79145","17"
"1","79146","79146","1"
"2","79146","79146","1"
"1","79147","79147","2"
"2","79147","79147","8"
"1","79152","79152","26"
"2","79152","79152","82"
"1","79163","79163","13"
"2","79163","79163","3"
"1","79166","79166","6"
"2","79166","79166","7"
"1","79168","79168","30"
"2","79168","79168","12"
"1","79174","79174","1"
"1","79177","79177","10"
"2","79177","79177","11"
"1","79178","79178","10"
"2","79178","79178","5"
"1","79182","79182","3"
"2","79182","79182","11"
"2","79184","79184","4"
"1","79191","79191","3"
"2","79191","79191","14"
"2","79194","79194","25"
"1","79201","79201","10"
"2","79201","79201","23"
"1","79202","79202","64"
"2","79202","79202","59"
"1","79203","79203","1"
"2","79203","79203","2"
"1","79204","79204","2"
"2","79204","79204","2"
"1","79206","79206","13"
"2","79206","79206","12"
"1","79207","79207","17"
"2","79207","79207","209"
"1","79208","79208","7"
"2","79209","79209","1"
"1","79210","79210","13"
"2","79210","79210","1"
"2","79212","79212","5"
"1","79215","79215","7"
"2","79215","79215","4"
"1","79217","79217","6"
"2","79217","79217","7"
"1","79219","79219","9"
"2","79219","79219","2"
"2","79221","79221","2"
"1","79225","79225","9"
"2","79225","79225","283"
"1","79226","79226","1"
"2","79226","79226","8"
"1","79227","79227","9"
"2","79227","79227","1"
"1","79228","79228","1"
"2","79228","79228","3"
"1","79230","79230","30"
"2","79230","79230","93"
"2","79232","79232","1"
"1","79234","79234","1"
"2","79234","79234","1"
"1","79239","79239","1"
"1","79247","79247","29"
"2","79247","79247","38"
"2","79250","79250","118"
"1","79252","79252","32"
"2","79252","79252","91"
"1","79254","79254","6"
"2","79254","79254","12"
"1","79256","79256","5"
"2","79256","79256","40"
"1","79259","79259","25"
"2","79259","79259","31"
"1","79261","79261","2"
"1","79267","79267","2"
"2","79267","79267","444"
"1","79270","79270","7"
"2","79270","79270","2"
"1","79271","79271","5"
"2","79271","79271","45"
"1","79281","79281","9"
"2","79281","79281","6"
"2","79282","79282","1"
"1","79286","79286","1"
"2","79286","79286","1"
"1","79287","79287","2"
"2","79287","79287","6"
"1","79288","79288","2"
"2","79288","79288","2"
"1","79290","79290","17"
"2","79290","79290","8"
"1","79292","79292","12"
"1","79294","79294","6"
"2","79294","79294","161"
"1","79296","79296","1"
"1","79298","79298","13"
"2","79298","79298","98"
"1","79304","79304","7"
"1","79307","79307","10"
"2","79307","79307","10"
"1","79311","79311","27"
"2","79311","79311","6"
"1","79312","79312","12"
"2","79312","79312","7"
"1","79323","79323","27"
"2","79323","79323","6"
"1","79332","79332","18"
"2","79332","79332","16"
"1","79339","79339","47"
"2","79339","79339","58"
"1","79344","79344","30"
"2","79344","79344","14"
"1","79346","79346","4"
"2","79346","79346","2"
"1","79354","79354","2"
"2","79354","79354","123"
"1","79358","79358","48"
"2","79358","79358","24"
"1","79363","79363","3"
"2","79363","79363","1"
"1","79364","79364","5"
"1","79368","79368","19"
"2","79368","79368","18"
"1","79369","79369","2"
"2","79369","79369","17"
"2","79370","79370","2"
"1","79371","79371","1"
"1","79379","79379","63"
"2","79379","79379","112"
"1","79381","79381","1"
"2","79381","79381","1"
"1","79382","79382","18"
"2","79382","79382","40"
"2","79386","79386","3"
"1","79389","79389","1"
"2","79389","79389","2"
"1","79395","79395","2"
"2","79395","79395","1"
"2","79400","79400","1"
"1","79401","79401","2"
"2","79401","79401","17"
"1","79408","79408","30"
"2","79408","79408","3"
"1","79409","79409","1"
"2","79409","79409","6"
"1","79411","79411","9"
"1","79412","79412","2"
"2","79412","79412","67"
"1","79419","79419","22"
"2","79419","79419","93"
"2","79427","79427","16"
"1","79428","79428","2"
"2","79428","79428","18"
"1","79432","79432","2"
"2","79432","79432","45"
"1","79435","79435","122"
"2","79435","79435","8"
"2","79438","79438","3"
"1","79439","79439","124"
"2","79439","79439","441"
"1","79440","79440","2"
"2","79440","79440","2"
"1","79442","79442","9"
"2","79442","79442","45"
"1","79444","79444","42"
"2","79444","79444","150"
"1","79445","79445","69"
"2","79445","79445","32"
"2","79447","79447","3"
"1","79448","79448","9"
"2","79448","79448","194"
"4","79448","79448","1"
"1","79449","79449","1"
"2","79449","79449","5"
"1","79450","79450","10"
"2","79450","79450","137"
"4","79450","79450","1"
"5","79450","79450","1"
"1","79455","79455","26"
"2","79455","79455","72"
"1","79456","79456","41"
"2","79456","79456","327"
"1","79457","79457","8"
"2","79457","79457","11"
"1","79461","79461","13"
"2","79461","79461","20"
"1","79465","79465","169"
"2","79465","79465","35"
"1","79470","79470","31"
"2","79470","79470","4"
"1","79475","79475","24"
"2","79475","79475","16"
"1","79481","79481","1"
"2","79481","79481","7"
"1","79483","79483","9"
"2","79483","79483","10"
"1","79485","79485","72"
"2","79485","79485","105"
"4","79485","79485","3"
"5","79485","79485","2"
"1","79488","79488","5"
"2","79488","79488","2"
"2","79489","79489","4"
"1","79490","79490","1"
"1","79492","79492","8"
"2","79492","79492","1"
"1","79493","79493","1"
"1","79496","79496","43"
"2","79496","79496","10"
"1","79497","79497","3"
"2","79497","79497","8"
"1","79500","79500","2"
"2","79500","79500","3"
"1","79504","79504","6"
"2","79504","79504","16"
"1","79505","79505","14"
"2","79505","79505","10"
"1","79509","79509","2"
"2","79509","79509","11"
"1","79511","79511","5"
"2","79511","79511","18"
"1","79513","79513","17"
"2","79513","79513","84"
"2","79517","79517","9"
"2","79519","79519","2"
"1","79520","79520","3"
"2","79520","79520","8"
"1","79523","79523","32"
"2","79523","79523","22"
"1","79524","79524","4"
"1","79525","79525","1"
"2","79527","79527","10"
"1","79531","79531","2"
"2","79533","79533","1"
"1","79534","79534","20"
"2","79534","79534","4"
"1","79536","79536","16"
"2","79536","79536","39"
"1","79539","79539","1"
"1","79540","79540","8"
"2","79540","79540","1"
"1","79547","79547","1"
"2","79547","79547","5"
"1","79550","79550","5"
"1","79558","79558","5"
"2","79558","79558","2"
"1","79564","79564","3"
"2","79564","79564","3"
"1","79566","79566","4"
"2","79566","79566","832"
"5","79566","79566","1"
"1","79567","79567","10"
"2","79567","79567","1"
"2","79574","79574","12"
"1","79590","79590","8"
"1","79591","79591","14"
"2","79591","79591","91"
"4","79591","79591","1"
"5","79591","79591","1"
"1","79592","79592","3"
"2","79592","79592","33"
"2","79594","79594","3"
"1","79595","79595","11"
"2","79595","79595","30"
"1","79596","79596","1"
"2","79596","79596","1"
"1","79606","79606","1"
"1","79621","79621","2"
"2","79621","79621","2"
"1","79623","79623","15"
"2","79623","79623","8"
"1","79631","79631","85"
"1","79637","79637","3"
"1","79643","79643","2"
"2","79643","79643","19"
"1","79645","79645","2"
"1","79646","79646","43"
"2","79646","79646","22"
"1","79648","79648","5"
"2","79648","79648","27"
"1","79651","79651","1"
"1","79656","79656","1"
"2","79656","79656","126"
"2","79662","79662","1"
"1","79664","79664","1"
"2","79664","79664","1"
"1","79668","79668","1"
"2","79668","79668","86"
"1","79669","79669","5"
"2","79669","79669","4"
"1","79674","79674","1"
"2","79674","79674","1"
"1","79676","79676","47"
"2","79676","79676","21"
"1","79677","79677","46"
"2","79677","79677","89"
"1","79685","79685","41"
"2","79685","79685","1"
"1","79693","79693","8"
"2","79693","79693","24"
"2","79697","79697","8"
"1","79705","79705","1"
"2","79705","79705","31"
"1","79708","79708","133"
"2","79708","79708","102"
"1","79722","79722","25"
"2","79722","79722","19"
"4","79722","79722","1"
"5","79722","79722","1"
"1","79727","79727","4"
"2","79727","79727","38"
"1","79731","79731","3"
"2","79731","79731","3"
"2","79736","79736","3"
"1","79737","79737","46"
"2","79737","79737","607"
"4","79737","79737","1"
"5","79737","79737","1"
"2","79739","79739","34"
"1","79742","79742","16"
"2","79742","79742","4"
"1","79749","79749","28"
"2","79749","79749","55"
"2","79750","79750","3"
"1","79755","79755","26"
"2","79755","79755","19"
"1","79760","79760","25"
"2","79760","79760","5"
"1","79762","79762","2"
"1","79765","79765","1"
"1","79766","79766","1"
"1","79770","79770","15"
"2","79770","79770","9"
"1","79778","79778","20"
"2","79778","79778","5"
"1","79781","79781","6"
"1","79786","79786","1"
"2","79786","79786","1"
"1","79787","79787","2"
"2","79787","79787","1"
"1","79790","79790","1"
"2","79790","79790","9"
"1","79792","79792","5"
"2","79792","79792","4"
"1","79795","79795","10"
"2","79795","79795","74"
"1","79797","79797","9"
"2","79797","79797","85"
"1","79802","79802","1"
"2","79802","79802","22"
"1","79803","79803","38"
"2","79803","79803","17"
"1","79807","79807","1"
"2","79807","79807","1"
"1","79811","79811","1"
"2","79811","79811","1"
"1","79813","79813","5"
"2","79813","79813","1"
"2","79816","79816","20"
"1","79818","79818","20"
"2","79818","79818","2"
"1","79819","79819","2"
"2","79819","79819","9"
"1","79820","79820","12"
"2","79820","79820","33"
"1","79825","79825","1"
"2","79825","79825","2"
"1","79828","79828","20"
"2","79828","79828","10"
"2","79829","79829","8"
"2","79830","79830","31"
"1","79835","79835","39"
"2","79835","79835","96"
"1","79837","79837","13"
"2","79837","79837","2"
"1","79839","79839","2"
"2","79839","79839","7"
"1","79840","79840","3"
"2","79840","79840","2"
"1","79842","79842","23"
"2","79842","79842","32"
"2","79845","79845","1"
"1","79849","79849","15"
"2","79849","79849","13"
"1","79851","79851","1"
"2","79851","79851","13"
"1","79853","79853","6"
"2","79853","79853","45"
"1","79854","79854","11"
"2","79854","79854","13"
"1","79855","79855","2"
"2","79855","79855","9"
"1","79856","79856","49"
"2","79856","79856","353"
"4","79856","79856","1"
"1","79860","79860","1"
"2","79860","79860","1"
"1","79862","79862","7"
"2","79862","79862","7"
"1","79878","79878","1"
"2","79878","79878","7"
"1","79881","79881","14"
"2","79881","79881","1"
"1","79883","79883","5"
"2","79883","79883","46"
"1","79889","79889","1"
"1","79891","79891","413"
"2","79891","79891","42"
"1","79902","79902","11"
"1","79909","79909","2"
"2","79909","79909","1"
"1","79910","79910","32"
"2","79910","79910","85"
"1","79919","79919","60"
"2","79919","79919","9"
"2","79920","79920","26"
"1","79922","79922","2"
"1","79927","79927","5"
"2","79927","79927","2"
"1","79928","79928","1"
"1","79929","79929","2"
"1","79934","79934","4"
"2","79934","79934","39"
"1","79935","79935","20"
"2","79935","79935","4"
